Plate Element Test - 4 Elements
9   1   1   1  
1   0   0   0   0.0   0.0   0.0  
2   0   0   0   4.0   0.0   0.0 
3   0   0   0   8.0   0.0   0.0  
4   0   0   0   0.0   4.0   0.0 
5   0   0   0   4.0   4.0   0.0  
6   0   0   0   8.0   4.0   0.0  
7   0   0   0   0.0   8.0   0.0  
8   0   0   0   4.0   8.0   0.0 
9   0   0   0   8.0   8.0   0.0  
1   9
1   1   1333  
2   1   1333 
3   1   1333 
4   1   1333  
5   1   1333 
6   1   1333 
7   1   1333  
8   1   1333  
9   1   1333  
6   4   1
1   1.0e5   0.25   0.01 
1   1   2   5   4   1  
2   2   3   6   5   1 
3   4   5   8   7   1 
4   5   6   9   8   1  
