Uniform_Plate_T3_4x4_Fx
25   1   1   1
1   1   1   1   0.000000   0.000000   0.0
2   1   1   1   0.000000   0.250000   0.0
3   1   1   1   0.000000   0.500000   0.0
4   1   1   1   0.000000   0.750000   0.0
5   1   1   1   0.000000   1.000000   0.0
6   0   0   1   0.250000   0.000000   0.0
7   0   0   1   0.250000   0.250000   0.0
8   0   0   1   0.250000   0.500000   0.0
9   0   0   1   0.250000   0.750000   0.0
10   0   0   1   0.250000   1.000000   0.0
11   0   0   1   0.500000   0.000000   0.0
12   0   0   1   0.500000   0.250000   0.0
13   0   0   1   0.500000   0.500000   0.0
14   0   0   1   0.500000   0.750000   0.0
15   0   0   1   0.500000   1.000000   0.0
16   0   0   1   0.750000   0.000000   0.0
17   0   0   1   0.750000   0.250000   0.0
18   0   0   1   0.750000   0.500000   0.0
19   0   0   1   0.750000   0.750000   0.0
20   0   0   1   0.750000   1.000000   0.0
21   0   0   1   1.000000   0.000000   0.0
22   0   0   1   1.000000   0.250000   0.0
23   0   0   1   1.000000   0.500000   0.0
24   0   0   1   1.000000   0.750000   0.0
25   0   0   1   1.000000   1.000000   0.0
1   25
1   1   10.416667
2   1   31.250000
3   1   31.250000
4   1   31.250000
5   1   20.833333
6   1   31.250000
7   1   62.500000
8   1   62.500000
9   1   62.500000
10   1   31.250000
11   1   31.250000
12   1   62.500000
13   1   62.500000
14   1   62.500000
15   1   31.250000
16   1   31.250000
17   1   62.500000
18   1   62.500000
19   1   62.500000
20   1   31.250000
21   1   20.833333
22   1   31.250000
23   1   31.250000
24   1   31.250000
25   1   10.416667
3   32   1
1   2100.0   0.0   1.0
1   1   2   6   1
2   2   7   6   1
3   2   3   7   1
4   3   8   7   1
5   3   4   8   1
6   4   9   8   1
7   4   5   9   1
8   5   10   9   1
9   6   7   11   1
10   7   12   11   1
11   7   8   12   1
12   8   13   12   1
13   8   9   13   1
14   9   14   13   1
15   9   10   14   1
16   10   15   14   1
17   11   12   16   1
18   12   17   16   1
19   12   13   17   1
20   13   18   17   1
21   13   14   18   1
22   14   19   18   1
23   14   15   19   1
24   15   20   19   1
25   16   17   21   1
26   17   22   21   1
27   17   18   22   1
28   18   23   22   1
29   18   19   23   1
30   19   24   23   1
31   19   20   24   1
32   20   25   24   1
